GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CodeCoverage,Jacoco.CodeCoverage,App,7,0,0,0,3,0,2,0,2,0
CodeCoverage,compare,CompareString,0,11,0,2,0,4,0,3,0,2
